Kód obce,Název obce,Registrovaní voliči,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
533084,Kladruby,245,183,182,"7,69 %","0,00 %","0,00 %","4,94 %","0,00 %","8,24 %","9,34 %","0,54 %","0,54 %","2,19 %","0,00 %","0,00 %","13,18 %","0,00 %","0,00 %","6,04 %","25,82 %","0,00 %","0,54 %","10,43 %","0,00 %","1,09 %","0,00 %","0,00 %","8,79 %","0,54 %"
529931,Kondrac,383,272,267,"10,48 %","0,74 %","0,00 %","13,10 %","0,00 %","10,86 %","8,98 %","0,37 %","2,24 %","0,37 %","0,00 %","0,37 %","10,48 %","0,00 %","0,00 %","1,87 %","24,71 %","0,00 %","0,00 %","7,11 %","0,00 %","0,00 %","0,00 %","0,00 %","8,23 %","0,00 %"
529940,Kozmice,241,171,170,"12,35 %","0,00 %","0,00 %","7,05 %","0,00 %","3,52 %","7,64 %","1,17 %","2,94 %","1,17 %","0,00 %","0,00 %","11,17 %","0,00 %","0,00 %","6,47 %","35,29 %","0,00 %","0,58 %","2,94 %","0,00 %","0,00 %","0,00 %","0,58 %","6,47 %","0,58 %"
529958,Krhanice,765,505,502,"13,94 %","0,19 %","0,00 %","3,98 %","0,00 %","11,55 %","5,37 %","1,39 %","0,59 %","1,39 %","0,00 %","0,19 %","13,54 %","0,19 %","0,00 %","6,17 %","27,68 %","0,00 %","0,00 %","3,78 %","0,19 %","0,19 %","0,19 %","0,79 %","8,56 %","0,00 %"
529974,Krňany,361,242,241,"15,76 %","0,41 %","0,00 %","4,14 %","0,00 %","4,97 %","8,29 %","0,82 %","0,00 %","2,48 %","0,00 %","0,41 %","11,20 %","0,00 %","0,00 %","7,88 %","28,63 %","0,00 %","0,82 %","0,41 %","0,00 %","1,65 %","0,00 %","0,41 %","11,20 %","0,41 %"
529991,Křečovice,632,451,448,"6,69 %","0,00 %","0,22 %","5,35 %","0,00 %","10,49 %","8,92 %","1,78 %","1,11 %","0,00 %","0,22 %","0,00 %","12,27 %","0,22 %","0,00 %","6,25 %","31,47 %","0,00 %","0,22 %","8,25 %","0,00 %","0,44 %","0,22 %","0,44 %","5,35 %","0,00 %"
530000,Křivsoudov,351,222,222,"7,65 %","0,00 %","0,00 %","7,20 %","0,00 %","8,55 %","4,95 %","1,80 %","0,45 %","1,35 %","0,00 %","1,35 %","18,46 %","0,00 %","0,00 %","2,25 %","29,72 %","0,00 %","0,45 %","8,10 %","0,00 %","0,00 %","0,00 %","0,00 %","7,20 %","0,45 %"
530026,Kuňovice,66,61,61,"8,19 %","0,00 %","0,00 %","4,91 %","0,00 %","9,83 %","4,91 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","4,91 %","0,00 %","0,00 %","3,27 %","45,90 %","0,00 %","0,00 %","11,47 %","0,00 %","0,00 %","1,63 %","0,00 %","4,91 %","0,00 %"
530051,Lešany,567,371,370,"10,00 %","0,00 %","0,00 %","3,51 %","0,00 %","8,37 %","10,54 %","1,62 %","0,27 %","3,51 %","0,54 %","0,27 %","10,81 %","0,00 %","0,00 %","3,51 %","28,37 %","0,00 %","0,00 %","4,32 %","0,00 %","1,08 %","0,27 %","0,27 %","11,89 %","0,81 %"
530069,Libež,156,107,107,"4,67 %","1,86 %","0,00 %","9,34 %","0,00 %","2,80 %","14,01 %","0,00 %","0,00 %","1,86 %","0,00 %","0,00 %","2,80 %","0,00 %","0,00 %","0,00 %","39,25 %","0,00 %","0,00 %","7,47 %","0,00 %","0,93 %","0,93 %","0,00 %","14,01 %","0,00 %"
532258,Litichovice,54,39,39,"5,12 %","0,00 %","0,00 %","0,00 %","0,00 %","10,25 %","10,25 %","2,56 %","0,00 %","0,00 %","0,00 %","2,56 %","7,69 %","0,00 %","0,00 %","7,69 %","25,64 %","0,00 %","2,56 %","15,38 %","0,00 %","0,00 %","0,00 %","0,00 %","10,25 %","0,00 %"
